,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,DOI,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,BioProject,BioSample,ScientificName,GEO Sample,PMID,aerobicity,approx_OD,dilution_rate,growth_phase,reference_condition,time,passed_replicate_correlations
p1k_00011,acid__wt_ph5__1,Acid,acid,wt_ph5,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,,,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895926,SRR1824557,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:wt_ph5,True,True,,,,,,,,,,,,,
p1k_00012,acid__wt_ph5__2,Acid,acid,wt_ph5,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,,,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895927,SRR1824558,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:wt_ph5,True,True,,,,,,,,,,,,,
p1k_00014,acid__delgadx_ph5__2,Acid,acid,delgadx_ph5,2,Escherichia coli K-12 MG1655 del_gadX,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895933,SRR1824564,s3://precise-db/raw_data/acid/RNAseq-dgadX-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadX-pH-5-5-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:delgadx_ph5,True,False,,,,,,,,,,,,,
p1k_00015,acid__delgadw_ph5__1,Acid,acid,delgadw_ph5,1,Escherichia coli K-12 MG1655 del_gadW,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895930,SRR1824561,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:delgadw_ph5,True,True,,,,,,,,,,,,,
p1k_00016,acid__delgadw_ph5__2,Acid,acid,delgadw_ph5,2,Escherichia coli K-12 MG1655 del_gadW,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895931,SRR1824562,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:delgadw_ph5,True,True,,,,,,,,,,,,,
p1k_00017,acid__delgade_ph5__1,Acid,acid,delgade_ph5,1,Escherichia coli K-12 MG1655 del_gadE,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895928,SRR1824559,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:delgade_ph5,True,True,,,,,,,,,,,,,
p1k_00018,acid__delgade_ph5__2,Acid,acid,delgade_ph5,2,Escherichia coli K-12 MG1655 del_gadE,MG1655,Batch,No,M9,37.0,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,p1k_00011;p1k_00012,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1038/ncomms8970,GSE66482,SRX895929,SRR1824560,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,acid:delgade_ph5,True,True,,,,,,,,,,,,,
p1k_00019,oxidative__wt_pq__1,Oxidative,oxidative,wt_pq,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),,0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871628,SRR1796598,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:wt_pq,True,True,,,,,,,,,,,,,
p1k_00020,oxidative__wt_pq__2,Oxidative,oxidative,wt_pq,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),,0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871629,SRR1796599,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:wt_pq,True,True,,,,,,,,,,,,,
p1k_00021,oxidative__deloxyr_pq__1,Oxidative,oxidative,deloxyr_pq,1,Escherichia coli K-12 MG1655 del_oxyR,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871630,SRR1796600,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-1_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-1_S3_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:deloxyr_pq,True,True,,,,,,,,,,,,,
p1k_00022,oxidative__deloxyr_pq__2,Oxidative,oxidative,deloxyr_pq,2,Escherichia coli K-12 MG1655 del_oxyR,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871631,SRR1796601,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-2_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-2_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:deloxyr_pq,True,True,,,,,,,,,,,,,
p1k_00023,oxidative__delsoxr_pq__1,Oxidative,oxidative,delsoxr_pq,1,Escherichia coli K-12 MG1655 del_soxR,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871632,SRR1796602,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-1_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-1_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:delsoxr_pq,True,True,,,,,,,,,,,,,
p1k_00024,oxidative__delsoxr_pq__2,Oxidative,oxidative,delsoxr_pq,2,Escherichia coli K-12 MG1655 del_soxR,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871633,SRR1796603,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-2_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-2_S3_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:delsoxr_pq,True,True,,,,,,,,,,,,,
p1k_00025,oxidative__delsoxs_pq__1,Oxidative,oxidative,delsoxs_pq,1,Escherichia coli K-12 MG1655 del_soxS,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871634,SRR1796604,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:delsoxs_pq,True,True,,,,,,,,,,,,,
p1k_00026,oxidative__delsoxs_pq__2,Oxidative,oxidative,delsoxs_pq,2,Escherichia coli K-12 MG1655 del_soxS,MG1655,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0.0,,,p1k_00019;p1k_00020,MiSeq,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871635,SRR1796605,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,True,True,True,True,oxidative:delsoxs_pq,True,True,,,,,,,,,,,,,
p1k_00027,nac_ntrc__wt_csn__1,Nac/NtrC,nac_ntrc,wt_csn,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37.0,7.0,glucose(2),cytosine(2),O2,,,,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-1_S1_L001_R2_001.fastq.gz,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:wt_csn,True,True,,,,,,,,,,,,,
p1k_00028,nac_ntrc__wt_csn__2,Nac/NtrC,nac_ntrc,wt_csn,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37.0,7.0,glucose(2),cytosine(2),O2,,,,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-2_S2_L001_R2_001.fastq.gz,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:wt_csn,True,True,,,,,,,,,,,,,
p1k_00029,nac_ntrc__wt_cytd__1,Nac/NtrC,nac_ntrc,wt_cytd,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37.0,7.0,glucose(2),cytidine(2),O2,,,,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-1_S1_L001_R2_001.fastq.gz,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:wt_cytd,True,True,,,,,,,,,,,,,
p1k_00030,nac_ntrc__wt_cytd__2,Nac/NtrC,nac_ntrc,wt_cytd,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37.0,7.0,glucose(2),cytidine(2),O2,,,,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-2_S2_L001_R2_001.fastq.gz,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:wt_cytd,True,True,,,,,,,,,,,,,
p1k_00031,nac_ntrc__wt_gln__1,Nac/NtrC,nac_ntrc,wt_gln,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37.0,7.0,glucose(2),glutamine(2),O2,,,,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-1_S1_L001_R2_001.fastq.gz,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:wt_gln,True,True,,,,,,,,,,,,,
p1k_00032,nac_ntrc__wt_gln__2,Nac/NtrC,nac_ntrc,wt_gln,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37.0,7.0,glucose(2),glutamine(2),O2,,,,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-2_S2_L001_R2_001.fastq.gz,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:wt_gln,True,True,,,,,,,,,,,,,
p1k_00033,nac_ntrc__bw_delnac_csn__1,Nac/NtrC,nac_ntrc,bw_delnac_csn,1,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37.0,7.0,glucose(2),cytosine(2),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytosine-1_S1_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytosine-1_S1_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_csn,True,True,,,,,,,,,,,,,
p1k_00034,nac_ntrc__bw_delnac_csn__2,Nac/NtrC,nac_ntrc,bw_delnac_csn,2,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37.0,7.0,glucose(2),cytosine(2),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytosine-2_S2_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytosine-2_S2_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_csn,True,True,,,,,,,,,,,,,
p1k_00035,nac_ntrc__bw_delnac_cytd__1,Nac/NtrC,nac_ntrc,bw_delnac_cytd,1,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37.0,7.0,glucose(2),cytidine(2),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytidine-1_S1_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytidine-1_S1_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_cytd,True,True,,,,,,,,,,,,,
p1k_00036,nac_ntrc__bw_delnac_cytd__2,Nac/NtrC,nac_ntrc,bw_delnac_cytd,2,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37.0,7.0,glucose(2),cytidine(2),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytidine-2_S2_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/NTR-RNA-del-nac-cytidine-2_S2_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_cytd,True,True,,,,,,,,,,,,,
p1k_00037,nac_ntrc__bw_delnac_gln__1,Nac/NtrC,nac_ntrc,bw_delnac_gln,1,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37.0,7.0,glucose(2),glutamine(2),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/del-nac-glutamine-1_S5_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/del-nac-glutamine-1_S5_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_gln,True,True,,,,,,,,,,,,,
p1k_00038,nac_ntrc__bw_delnac_gln__2,Nac/NtrC,nac_ntrc,bw_delnac_gln,2,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37.0,7.0,glucose(2),glutamine(2),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/del-nac-glutamine-2_S6_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/del-nac-glutamine-2_S6_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_gln,True,True,,,,,,,,,,,,,
p1k_00039,nac_ntrc__bw_delnac_nh4__1,Nac/NtrC,nac_ntrc,bw_delnac_nh4,1,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,M9,37.0,7.0,glucose(2),NH4Cl(1),O2,,,Kanamycin,,,,p1k_00027;p1k_00028,MiSeq,PAIRED,ILLUMINA,2.0,escholarship.org/uc/item/0k4709x6,,,,s3://precise-db/raw_data/nac_ntrc/del-nac-ammonia-1_S3_L001_R1_001.fastq,s3://precise-db/raw_data/nac_ntrc/del-nac-ammonia-1_S3_L001_R2_001.fastq,Donghyuk Kim,Donghyuk Kim,True,True,True,True,nac_ntrc:bw_delnac_nh4,True,True,,,,,,,,,,,,,
